"fin.GEO.id2","fin.NAME","fin.01.OccupiedHousingUnits","fin.03.LessThan5000","fin.04.5000to9999","fin.05.10000to14999","fin.06.15000to19999","fin.07.20000to24999","fin.08.25000to34999","fin.09.35000to49999","fin.10.50000to74999","fin.11.75000to99999","fin.12.100000to149999","fin.13.150000.or.more","fin.14.MedianHouseholdIncome","fin.LessThan5000","fin.5000to9999","fin.10000to14999","fin.15000to19999","fin.20000to24999","fin.25000to34999","fin.35000to49999","fin.50000to74999","fin.75000to99999","fin.100000to149999","fin.150000.or.more"
26,"Michigan",3858532,3.7,4,5.1,5.4,5.6,10.6,14.4,18.7,12,12.2,8.3,51084,142765.684,154341.28,196785.132,208360.728,216077.792,409004.392,555628.608,721545.484,463023.84,470740.904,320258.156
27,"Minnesota",2147262,2.2,2.7,4,4.2,4.7,8.5,12.9,18.9,14,15.9,12.1,63488,47239.764,57976.074,85890.48,90185.004,100921.314,182517.27,276996.798,405832.518,300616.68,341414.658,259818.702
28,"Mississippi",1104371,5.5,6,6.9,7.4,6.9,11.6,14.3,16.6,10.8,9.4,4.6,40593,60740.405,66262.26,76201.599,81723.454,76201.599,128107.036,157925.053,183325.586,119272.068,103810.874,50801.066
29,"Missouri",2374180,3.2,3.8,5.6,5.4,5.8,11.1,14.7,18.7,12,12,7.6,50238,75973.76,90218.84,132954.08,128205.72,137702.44,263533.98,349004.46,443971.66,284901.6,284901.6,180437.68
30,"Montana",414804,3.2,4,5.6,5.5,6.6,11.1,14.4,19.7,11.8,11.5,6.7,49509,13273.728,16592.16,23229.024,22814.22,27377.064,46043.244,59731.776,81716.388,48946.872,47702.46,27791.868
31,"Nebraska",744159,2.6,3.1,4.9,4.8,5.5,10.2,14.1,19.3,13.2,13.9,8.3,54996,19348.134,23068.929,36463.791,35719.632,40928.745,75904.218,104926.419,143622.687,98228.988,103438.101,61765.197
32,"Nevada",1042065,3.5,3,4.6,4.8,5.5,11.1,14.9,19.1,13.1,12.4,8.1,52431,36472.275,31261.95,47934.99,50019.12,57313.575,115669.215,155267.685,199034.415,136510.515,129216.06,84407.265
33,"New Hampshire",517615,1.7,2.3,3.4,3.9,4.4,7.5,11.9,17.8,14.6,17.4,15.1,70303,8799.455,11905.145,17598.91,20186.985,22775.06,38821.125,61596.185,92135.47,75571.79,90065.01,78159.865
34,"New Jersey",3187963,3,2.7,3.6,4,4.2,7.7,10.5,15.6,12.2,17,19.5,72222,95638.89,86075.001,114766.668,127518.52,133894.446,245473.151,334736.115,497322.228,388931.486,541953.71,621652.785
35,"New Mexico",761797,4.6,5.2,6.4,6.4,6.4,11.3,13.7,17.1,11,11,6.9,45382,35042.662,39613.444,48755.008,48755.008,48755.008,86083.061,104366.189,130267.287,83797.67,83797.67,52563.993
36,"New York",7233694,3.7,4.1,5,4.8,4.7,8.6,11.4,16.3,11.8,14.7,15,60850,267646.678,296581.454,361684.7,347217.312,339983.618,622097.684,824641.116,1179092.122,853575.892,1063353.018,1085054.1
37,"North Carolina",3843745,3.5,3.9,6.1,6,5.9,11.5,14.7,17.8,11.4,11.2,7.9,47830,134531.075,149906.055,234468.445,230624.7,226780.955,442030.675,565030.515,684186.61,438186.93,430499.44,303655.855
