"","NAME","Pop2015","Pop2016.x","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Category","PerCapCategory"
"56","Colorado",5448819,5540545,5,20702,1725.16666666667,373.645552919433,31.1371294099528,"Median Household Income",63909
"57","Connecticut",3584730,3576452,6,6473,539.416666666667,180.98942751084,15.08245229257,"Median Household Income",71346
"58","Delaware",944076,952065,8,1433,119.416666666667,150.514933329132,12.542911110761,"Median Household Income",61255
"59","Florida",20244914,20612439,1,38357,3196.41666666667,186.086663494796,15.5072219578996,"Median Household Income",49426
"60","Georgia",10199398,10310371,1,23825,1985.41666666667,231.078008735088,19.256500727924,"Median Household Income",51244
"61","Hawaii",1425157,1428557,9,1252,104.333333333333,87.6408851729402,7.30340709774502,"Median Household Income",73486
"62","Idaho",1652828,1683140,9,11462,955.166666666667,680.989103699039,56.7490919749199,"Median Household Income",48275
"63","Illinois",12839047,12801539,3,24367,2030.58333333333,190.344301571866,15.8620251309888,"Median Household Income",59588
"64","Indiana",6612768,6633053,4,17601,1466.75,265.352922703919,22.1127435586599,"Median Household Income",50532
"65","Iowa",3121997,3134693,5,15442,1286.83333333333,492.616023323496,41.051335276958,"Median Household Income",54736
"66","Kansas",2906721,2907289,5,13432,1119.33333333333,462.011172607883,38.5009310506569,"Median Household Income",53906
"67","Kentucky",4424611,4436974,4,16951,1412.58333333333,382.039651347968,31.8366376123307,"Median Household Income",45215
"68","Louisiana",4668960,4681666,5,14627,1218.91666666667,312.431514764189,26.0359595636824,"Median Household Income",45727
"69","Maine",1329453,1331479,6,6210,517.5,466.398643914023,38.866553659502,"Median Household Income",51494
"70","Maryland",5994983,6016447,8,7083,590.25,117.727289877232,9.81060748976929,"Median Household Income",75847
"71","Massachusetts",6784240,6811779,6,5880,490,86.3210623832629,7.19342186527191,"Median Household Income",70628
"72","Michigan",9917715,9928300,4,26151,2179.25,263.398541200554,21.9498784333795,"Median Household Income",51084
"73","Minnesota",5482435,5519952,3,17391,1449.25,315.057087452934,26.2547572877445,"Median Household Income",63488
"74","Mississippi",2989390,2988726,1,11264,938.666666666667,376.882992954188,31.4069160795157,"Median Household Income",40593
"75","Missouri",6076204,6093000,5,26691,2224.25,438.060068931561,36.5050057442967,"Median Household Income",50238
"76","Montana",1032073,1042520,9,12987,1082.25,1245.73149675786,103.810958063155,"Median Household Income",49509
"77","Nebraska",1893765,1907116,5,8228,685.666666666667,431.436787274607,35.9530656062173,"Median Household Income",54996
"78","Nevada",2883758,2940058,9,7452,621,253.464387437255,21.1220322864379,"Median Household Income",52431
"79","New Hampshire",1330111,1334795,6,5961,496.75,446.585430721571,37.215452560131,"Median Household Income",70303
"80","New Jersey",8935421,8944469,8,3957,329.75,44.2396300998975,3.68663584165812,"Median Household Income",72222
"81","New Mexico",2080328,2081015,5,8291,690.916666666667,398.411352152675,33.200946012723,"Median Household Income",45382
"82","New York",19747183,19745289,6,19935,1661.25,100.960791204423,8.41339926703529,"Median Household Income",60850
"83","North Carolina",10035186,10146788,1,28769,2397.41666666667,283.528147035298,23.6273455862749,"Median Household Income",47830
"84","North Dakota",756835,757952,3,4952,412.666666666667,653.339525458077,54.4449604548397,"Median Household Income",60557
"85","Ohio",11605090,11614373,4,29632,2469.33333333333,255.132153926863,21.2610128272386,"Median Household Income",51075
"86","Oklahoma",3907414,3923561,5,18364,1530.33333333333,468.044207800006,39.0036839833339,"Median Household Income",48568
"87","Oregon",4024634,4093465,9,17350,1445.83333333333,423.846301360828,35.3205251134023,"Median Household Income",54148
"88","Pennsylvania",12791904,12784227,8,30633,2552.75,239.615582545585,19.9679652121321,"Median Household Income",55702
"89","Rhode Island",1055607,1056426,6,1087,90.5833333333333,102.894097646215,8.57450813718456,"Median Household Income",58073
"90","South Carolina",4894834,4961119,1,13354,1112.83333333333,269.173144203959,22.4310953503299,"Median Household Income",47238
