"NAME","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Pop2010","Pop2011","Pop2012","Pop2013","Pop2014","Pop2015","Pop2016","Total.18to24","Total.25to34","Total.35to44","Total.45to64","Total.65plus","Total.1824.HS.Male","Total.25to34.HS","Total.35to44.HS","Total.45to64.HS","Total.65plus.HS","Total.18to24.BA","Total.25to34.BA","Total.35to44.BA","Total.45to64.BA","Total.65plus.BA","Total.18.to24.Male","Total.25to34.Male","Total.35to44.Male","Total.45to64.Male","Total.65plus.Male","Total.18to24.Female","Total.25to34.Female","Total.35to44.Female","Total.45to64.Female","Total.65plus.Female","total.pop","total.HS","total.BA","total.male","total.female","pop.err.2015","pop.err.2016","perCap.pop","perCap.HS","perCap.BA","perCap.male","perCap.female"
"Washington",9,14427,1202.25,197.955543358946,16.4962952799122,6743226,6822520,6895226,6968006,7054196,7160290,7288000,669067,1050364,926769,1875555,1036626,119047,958369,837347,1715294,930073,69623,373612,345156,621964,330161,348769,540210,469609,929159,473605,320298,510154,457160,946396,563021,5558381,4560130,1740516,2761352,2797029,1601909,1729619,77627.875407281,63686.3870038783,24307.8981437903,38564.8067326882,39063.0686745928
"Arizona",9,21759,1813.25,313.934166884166,26.1611805736805,6408312,6467163,6549634,6624617,6719993,6817565,6931071,669583,914761,845274,1656915,1120004,113257,795472,709336,1433627,967546,49307,241047,242768,461798,311836,345832,471430,425605,803659,515072,323751,443331,419669,853256,604932,5206537,4019238,1306756,2561598,2644939,1611028,1724534,76369.4515563841,58954.1573861049,19167.4886854764,37573.5031495849,38795.9484067992
"Massachusetts",6,5880,490,86.3210623832629,7.19342186527191,6565524,6611923,6658008,6706786,6749911,6784240,6811779,700584,941776,838603,1882039,1044226,107784,881127,770547,1714171,881450,121238,479197,387501,749731,335260,350262,467178,411344,910482,448520,350322,474598,427259,971557,595706,5407228,4355079,2072927,2587786,2819442,1377012,1404551,79702.781741212,64194.0585828332,30555.03637843,38144.0809877009,41558.7007535111
"Tennessee",1,18427,1535.58333333333,277.048000704836,23.0873333920697,6356671,6397634,6454306,6494821,6544663,6595056,6651194,633012,865801,841160,1750746,1015780,126325,777408,744572,1530805,796897,57852,264324,248145,430377,208234,320102,426347,416003,844199,448323,312910,439454,425157,906547,567457,5106499,3976007,1208932,2454974,2651525,1488557,1544695,77429.1984783753,60287.6912644866,18330.8830129721,37224.4602623541,40204.7382160212
"Indiana",4,17601,1466.75,265.352922703919,22.1127435586599,6490528,6516480,6537743,6569102,6595233,6612768,6633053,676373,842022,822598,1733629,965324,117441,745968,739215,1558576,805678,63424,247422,235174,423896,181628,344413,420387,411598,850634,421586,331960,421635,411000,882995,543738,5039946,3966878,1151544,2448618,2591328,1572822,1593107,76215.3760724707,59988.1622945187,17413.9482891279,37028.6391417331,39186.7369307376
"Missouri",5,26691,2224.25,438.060068931561,36.5050057442967,5996118,6010717,6025415,6042711,6060930,6076204,6093000,593894,796209,733744,1616311,950948,100904,726046,665921,1450766,800855,56632,259997,244004,430816,206043,302843,397613,365077,789776,416051,291051,398596,368667,826535,534897,4691106,3744492,1197492,2271360,2419746,1385098,1401894,77204.5507359529,61625.5148773807,19707.896574901,37381.2334148096,39823.3173211433
"Maryland",8,7083,590.25,117.727289877232,9.81060748976929,5788584,5843603,5889651,5931129,5967295,5994983,6016447,556183,834133,769729,1651639,846985,89925,755441,698319,1506580,716480,77516,337263,339348,638894,276109,283318,412273,374561,788242,365364,272865,421860,395168,863397,481621,4658669,3766745,1669130,2223758,2434911,1336314,1357778,77709.4613946361,62831.62104046,27842.1139809738,37093.6498068468,40615.8115877893
"Wisconsin",3,18875,1572.91666666667,326.63010486081,27.2191754050675,5690263,5709640,5726177,5742854,5758377,5767891,5778708,560301,725456,696695,1596083,900763,100221,676867,639343,1480795,786448,62369,243575,233562,436597,198724,283999,369768,353127,794622,403895,276302,355688,343568,801461,496868,4479298,3683674,1174827,2205411,2273887,1288593,1299410,77659.1998704553,63865.1805313242,20368.3980851927,38236.0034196208,39423.1964508345
"Colorado",5,20702,1725.16666666667,373.645552919433,31.1371294099528,5048644,5118360,5189867,5267603,5349648,5448819,5540545,527949,827137,737989,1395155,711572,91640,761849,663597,1285760,636794,58754,324927,319083,538738,258028,277962,428665,379324,690644,323620,249987,398472,358665,704511,387952,4199802,3439640,1499530,2100215,2099587,1249017,1340743,77077.2895924787,63126.339854563,27520.2754945613,38544.4075128941,38532.8820795846
"Minnesota",3,17391,1449.25,315.057087452934,26.2547572877445,5311147,5348562,5380285,5418521,5453109,5482435,5519952,505761,745711,675937,1474329,804958,79931,696370,628703,1390790,717766,65070,303598,270410,494051,215948,256708,377283,341891,734602,361152,249053,368428,334046,739727,443806,4206696,3513560,1349077,2071636,2135060,1275739,1313256,76730.4309125416,64087.5815217143,24607.2593655921,37786.7863458482,38943.6445666934
"South Carolina",1,13354,1112.83333333333,269.173144203959,22.4310953503299,4635943,4672637,4720760,4767894,4828430,4894834,4961119,487006,631579,600449,1293850,793954,95608,561787,528275,1135652,640263,42154,184488,170940,342966,191847,250386,314957,291376,614439,352949,236620,316622,309073,679411,441005,3806838,2961585,932395,1824107,1982731,1087996,1154281,77772.5659337988,60504.2990221936,19048.5520040108,37265.9624412186,40506.6034925801
"Alabama",1,14761,1230.08333333333,303.518187239117,25.2931822699265,4785492,4799918,4815960,4829479,4843214,4853875,4863300,468319,624472,612193,1283740,761847,83861,542689,528600,1102622,611459,35031,161130,165594,305002,161150,235692,304812,297114,620239,329305,232627,319660,315079,663501,432542,3750571,2869231,827907,1787162,1963409,1103304,1112729,77269.6247843218,59112.1732636296,17056.6197110556,36819.2835621024,40450.3412222194
"Louisiana",5,14627,1218.91666666667,312.431514764189,26.0359595636824,4544996,4575404,4603429,4626402,4647880,4668960,4681666,459284,670600,578072,1192975,653608,85243,583410,499048,1021180,514847,34103,177467,145998,263418,131175,235246,327698,288942,575309,284257,224038,342902,289130,617666,369351,3554539,2703728,752161,1711452,1843087,1114421,1127127,76131.2797710839,57908.5706452829,16109.8188890031,36655.9576436723,39475.3221274117
"Kentucky",4,16951,1412.58333333333,382.039651347968,31.8366376123307,4348662,4369354,4384799,4400477,4413057,4424611,4436974,425719,561502,563472,1189688,674128,84471,508192,500163,1022517,513954,31921,154242,153497,263036,125399,218474,279772,282754,581547,295759,207245,281730,280718,608141,378369,3414509,2629297,728095,1658306,1756203,1010102,1022465,77170.8292548204,59424.3652153828,16455.570896515,37479.1365839844,39691.6926708359
"Oregon",9,17350,1445.83333333333,423.846301360828,35.3205251134023,3838048,3868031,3899116,3925751,3968371,4024634,4093465,363364,553310,527375,1063998,659778,59524,503719,468474,959198,593485,35268,189883,194256,324700,192828,183929,279512,266796,520757,301459,179435,273798,260579,543241,358319,3167825,2584400,936935,1552453,1615372,856809,925640,78710.8840207582,64214.5347875111,23280.0050886615,38573.768447019,40137.1155737391
"Oklahoma",5,18364,1530.33333333333,468.044207800006,39.0036839833339,3759603,3786274,3817054,3852415,3877499,3907414,3923561,392378,535955,479383,966494,576031,72567,476266,420832,849664,486443,29788,135896,127632,236307,130169,203924,271258,241435,472884,255984,188454,264697,237948,493610,320047,2950241,2305772,659792,1445485,1504756,957173,973320,75503.6707141859,59010.1791107879,16885.6435483929,36993.3925609111,38510.2781532748
