"NAME","LicCount","perCapFFLyear","LicCountMonthly","perCapitaFFL","EstPop16.Wiki","EstPopPerHouseSeat","HouseRate","REGION","DIVISION","STATE","POPESTIMATE2016","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","RBIRTH2016","RDEATH2016","RNATURALINC2016","RINTERNATIONALMIG2016","RDOMESTICMIG2016","RNETMIG2016","atf.Region"
"Louisiana",14627,312.431514764189,1218.91666666667,26.0359595636824,4681666,778454,6.0140560649698,3,7,22,4681666,12706,63570,45030,18540,7223,-12243,-5020,-814,13.596950621,9.6314407185,3.9655099028,1.5449233025,-2.618648206,-1.073724904,5
"Kentucky",16951,382.039651347968,1412.58333333333,31.8366376123307,4436974,737515,6.01611357057145,3,6,21,4436974,12363,55198,44883,10315,6734,-3429,3305,-1257,12.457816519,10.129790551,2.3280259683,1.5198184072,-0.773902186,0.7459162215,4
"Oregon",17350,423.846301360828,1445.83333333333,35.3205251134023,4093465,805795,5.08003276267537,4,9,41,4093465,68831,46198,35371,10827,6934,50038,56972,1032,11.38148229,8.7141090543,2.667373236,1.7082817049,12.327516577,14.035798282,9
"Oklahoma",18364,468.044207800006,1530.33333333333,39.0036839833339,3923561,782268,5.01562252322733,3,7,40,3923561,16147,53175,39588,13587,6716,-3822,2894,-334,13.580684398,10.11061841,3.470065988,1.7152398009,-0.976123663,0.7391161382,5
"Connecticut",6473,180.98942751084,539.416666666667,15.08245229257,3576452,718177,4.97990328289544,1,1,9,3576452,-8278,35848,30638,5210,17058,-29880,-12822,-666,10.011755043,8.5566879881,1.4550670546,4.7640180071,-8.344991092,-3.580973085,6
"Iowa",15442,492.616023323496,1286.83333333333,41.051335276958,3134693,780975,4.01381990460642,2,4,19,3134693,12696,39349,28739,10610,6336,-3392,2944,-858,12.578216277,9.1866466135,3.3915696638,2.0253520632,-1.084279387,0.9410726758,5
"Utah",11105,363.953137387475,925.416666666667,30.3294281156229,3051217,748083,4.07871452766605,4,8,49,3051217,60585,51444,16447,34997,5634,19778,25412,176,17.029224001,5.4443598309,11.58486417,1.8649919917,6.547002416,8.4119944077,9
"Mississippi",11264,376.882992954188,938.666666666667,31.4069160795157,2988726,748083,3.99517967926019,3,6,28,2988726,-664,37880,31006,6874,2223,-9690,-7467,-71,12.672888917,10.373167734,2.2997211831,0.7437125676,-3.241824013,-2.498111445,1
"Arkansas",15251,510.365940176317,1270.91666666667,42.5304950146931,2988248,744551,4.01349000941507,3,7,5,2988248,10395,37936,30581,7355,3335,195,3530,-490,12.717183299,10.251586421,2.4655968781,1.1179830848,0.0653693258,1.1833524106,5
"Nevada",7452,253.464387437255,621,21.1220322864379,2940058,722711,4.06809637600645,4,8,32,2940058,56300,36462,23771,12691,7392,34575,41967,1642,12.521686812,8.1633760407,4.3583107708,2.5385417396,11.873658096,14.412199836,9
"Kansas",13432,462.011172607883,1119.33333333333,38.5009310506569,2907289,727910,3.99402261268563,2,4,20,2907289,568,38702,25128,13574,5851,-18595,-12744,-262,13.313358594,8.6439479808,4.6694106133,2.0127244363,-6.396617825,-4.383893389,5
"New Mexico",8291,398.411352152675,690.916666666667,33.200946012723,2081015,695036,2.99411109640364,4,8,35,2081015,687,25491,17799,7692,2637,-9748,-7111,106,12.251333284,8.5544498495,3.696883434,1.2673793052,-4.685025964,-3.417646659,5
"Nebraska",8228,431.436787274607,685.666666666667,35.9530656062173,1907116,632063,3.01728783364949,2,4,31,1907116,13351,26553,15355,11198,4187,-2144,2043,110,13.972023854,8.0797057314,5.8923181231,2.2031734222,-1.128159498,1.0750139244,5
"West Virginia",10736,586.313596948723,894.666666666667,48.8594664123936,1831102,614709,2.97881111224986,3,5,54,1831102,-9951,19799,22479,-2680,1076,-7659,-6583,-688,10.783313885,12.242947261,-1.459633376,0.5860319077,-4.171392547,-3.58536064,4
"Idaho",11462,680.989103699039,955.166666666667,56.7490919749199,1683140,827465,2.03409207640202,4,8,16,1683140,30312,22792,12496,10296,1726,17143,18869,1147,13.664399659,7.4916785773,6.1727210813,1.0347821082,10.277676524,11.312458633,9
"Hawaii",1252,87.6408851729402,104.333333333333,7.30340709774502,1428557,715802,1.99574323625807,4,9,15,1428557,3400,18507,12237,6270,7438,-10021,-2583,-287,12.970465856,8.5761922884,4.3942735677,5.2128559484,-7.023128456,-1.810272508,9
"New Hampshire",5961,446.585430721571,496.75,37.215452560131,1334795,665304,2.00629336363527,1,1,33,1334795,4684,12274,11572,702,2175,2187,4362,-380,9.211581947,8.6847340957,0.5268478513,1.6323277444,1.6413336906,3.273661435,6
"Maine",6210,466.398643914023,517.5,38.866553659502,1331479,664664,2.00323622160972,1,1,23,1331479,2026,12542,13842,-1300,1785,2169,3954,-628,9.4267722738,10.40387353,-0.977101256,1.3416351865,1.6302558652,2.9718910517,6
"Rhode Island",1087,102.894097646215,90.5833333333333,8.57450813718456,1056426,528149,2.00024235585034,1,1,44,1056426,819,10770,9849,921,4203,-3784,419,-521,10.198704282,9.326558818,0.8721454636,3.9800514481,-3.583277345,0.3967741034,6
"Montana",12987,1245.73149675786,1082.25,103.810958063155,1042520,1032949,1.00926570430873,4,8,30,1042520,10447,12431,9597,2834,569,6853,7422,191,11.984037351,9.2519351989,2.7321021521,0.5485413283,6.606597053,7.1551383814,9
"Delaware",1433,150.514933329132,119.416666666667,12.542911110761,952065,952065,1,3,5,10,952065,7989,10922,8945,1977,2556,3027,5583,429,11.52024032,9.4349523585,2.0852879612,2.6960020378,3.1928005354,5.8888025732,8
"South Dakota",6194,715.6937283784,516.166666666667,59.6411440315334,865454,858469,1.00813657802437,2,4,46,865454,7535,12114,7296,4818,1632,941,2573,144,14.058477184,8.4671165209,5.5913606631,1.8939602744,1.0920444965,2.9860047709,3
"North Dakota",4952,653.339525458077,412.666666666667,54.4449604548397,757952,756927,1.00135415964816,2,4,38,757952,1117,11824,6172,5652,1575,-6259,-4684,149,15.611435799,8.1490004865,7.4624353127,2.0795002862,-8.263868121,-6.184367835,3
"Alaska",7284,981.811417803622,607,81.8176181503018,741894,741894,1,4,9,2,741894,4185,11255,4511,6744,2030,-4587,-2557,-2,15.213540389,6.097581581,9.1159588079,2.7439792971,-6.20031184,-3.456332543,9
"Vermont",3724,596.227309260095,310.333333333333,49.6856091050079,624594,626042,0.997687056140003,1,1,50,624594,-1494,6035,5547,488,955,-2865,-1910,-72,9.6507345592,8.8703603314,0.7803742278,1.5271667778,-4.581500333,-3.054333556,6
"Wyoming",7358,1256.70152570192,613.166666666667,104.725127141827,585501,586107,0.998966059098424,4,8,56,585501,-1054,7590,4838,2752,524,-4347,-3823,17,12.951599582,8.2555782318,4.6960213505,0.8941552281,-7.417734306,-6.523579078,5
