"ind.GEO.id2","NAME","Pop2015","perCapitaFFL","Industry","PerCapIndustry"
1,"Alabama",4853875,25.2931822699265,"Workforce",42030.7074244804
2,"Alaska",737709,81.8176181503018,"Workforce",48090.2361229157
4,"Arizona",6817565,26.1611805736805,"Workforce",43087.3779714605
5,"Arkansas",2977853,42.5304950146931,"Workforce",42683.8732469333
6,"California",38993940,6.49235387592316,"Workforce",46277.5754386451
8,"Colorado",5448819,31.1371294099528,"Workforce",50747.0517923242
9,"Connecticut",3584730,15.08245229257,"Workforce",50410.9932965663
10,"Delaware",944076,12.542911110761,"Workforce",47402.5396260471
12,"Florida",20244914,15.5072219578996,"Workforce",44407.3064474366
13,"Georgia",10199398,19.256500727924,"Workforce",45155.9297911504
15,"Hawaii",1425157,7.30340709774502,"Workforce",47378.2186804682
16,"Idaho",1652828,56.7490919749199,"Workforce",45027.5527762114
17,"Illinois",12839047,15.8620251309888,"Workforce",48263.1148557989
18,"Indiana",6612768,22.1127435586599,"Workforce",47180.9384511902
19,"Iowa",3121997,41.051335276958,"Workforce",51245.8211843253
20,"Kansas",2906721,38.5009310506569,"Workforce",48751.4625586701
21,"Kentucky",4424611,31.8366376123307,"Workforce",43596.3071103878
22,"Louisiana",4668960,26.0359595636824,"Workforce",43645.9511325863
23,"Maine",1329453,38.866553659502,"Workforce",48772.9915988004
24,"Maryland",5994983,9.81060748976929,"Workforce",50566.7155353068
25,"Massachusetts",6784240,7.19342186527191,"Workforce",51917.429218306
26,"Michigan",9917715,21.9498784333795,"Workforce",45500.8134434192
27,"Minnesota",5482435,26.2547572877445,"Workforce",53136.5351344795
28,"Mississippi",2989390,31.4069160795157,"Workforce",40365.3922706639
29,"Missouri",6076204,36.5050057442967,"Workforce",47403.0990401244
30,"Montana",1032073,103.810958063155,"Workforce",47465.1502364658
31,"Nebraska",1893765,35.9530656062173,"Workforce",52107.2572362463
32,"Nevada",2883758,21.1220322864379,"Workforce",46182.6547165192
33,"New Hampshire",1330111,37.215452560131,"Workforce",53628.0806639446
34,"New Jersey",8935421,3.68663584165812,"Workforce",48957.2455511609
35,"New Mexico",2080328,33.200946012723,"Workforce",42291.744378771
36,"New York",19747183,8.41339926703529,"Workforce",47973.105834893
37,"North Carolina",10035186,23.6273455862749,"Workforce",45350.1509588362
38,"North Dakota",756835,54.4449604548397,"Workforce",53458.0192512238
39,"Ohio",11605090,21.2610128272386,"Workforce",47304.6051344712
40,"Oklahoma",3907414,39.0036839833339,"Workforce",44874.8200216307
41,"Oregon",4024634,35.3205251134023,"Workforce",46743.5051236957
42,"Pennsylvania",12791904,19.9679652121321,"Workforce",47762.0063440126
44,"Rhode Island",1055607,8.57450813718456,"Workforce",49732.0499011469
45,"South Carolina",4894834,22.4310953503299,"Workforce",44244.6464987372
46,"South Dakota",857919,59.6411440315334,"Workforce",50919.9586441144
47,"Tennessee",6595056,23.0873333920697,"Workforce",45470.6373986817
48,"Texas",27429639,22.7174333169338,"Workforce",46278.0461675052
49,"Utah",2990632,30.3294281156229,"Workforce",47292.244582416
50,"Vermont",626088,49.6856091050079,"Workforce",52363.4057832126
51,"Virginia",8367587,20.3880069540341,"Workforce",48778.6980882302
53,"Washington",7160290,16.4962952799122,"Workforce",47455.8153370883
54,"West Virginia",1841053,48.8594664123936,"Workforce",40109.546004379
55,"Wisconsin",5767891,27.2191754050675,"Workforce",51312.6028213779
56,"Wyoming",586555,104.725127141827,"Workforce",50349.583585512
1,"Alabama",4853875,25.2931822699265,"Agriculture",708.361875820865
2,"Alaska",737709,81.8176181503018,"Agriculture",2569.30578317467
4,"Arizona",6817565,26.1611805736805,"Agriculture",631.823825662095
