"NAME","ind.01.Civilian.16","ind.02.Agriculture.Forestry.Fish.Hunt.Mining","ind.03.Construction","ind.04.Manufacturing","ind.05.Wholesale.Trade","ind.06.Retail.Trade","ind.07.Transportation.Warehousing.Util","ind.08.Information","ind.09.Finance.Insurance.RealEstate","ind.10.Professional.Scientific.Mgmt.Admin.Waste","ind.11.Education.HealthCare.Social","ind.12.Arts.Entertain.Accomodation.FoodService","ind.13.OtherServices","ind.14.PublicAdministration","work.01.Civilian.16","work.02.Private.ForProfit","work.03.Private.ForProfit.Employee","work.04.Private.ForProfit.Self.Inc","work.05.Private.NonProfit","work.06.LocalGov","work.07.StateGov","work.08.FederalGov","work.09.Self.Employed","edu.02.Total.18to24","edu.02.Total.18.to24.Male","edu.02.Total.18to24.Female","edu.03.Total.18to24.LessHS","edu.03.Total.18to24.LessHS.Male","edu.03.Total.18to24.LessHS.Female","edu.04.Total.18to24.HS","edu.04.Total.1824.HS.Male","edu.04.Total.18to24.HS.Female","edu.05.Total.18to24.AA","edu.05.Total.18to24.AA.Male","edu.05.Total.18to24.AA.Female","edu.06.Total.18to24.BA","edu.06.Total.18to24.BA.Male","edu.06.Total.18to24.BA.Female","edu.20.Total.25to34","edu.20.Total.25to34.Male","edu.20.Total.25to34.Female","edu.21.Total.25to34.HS","edu.21.Total.25to34.HS.Male","edu.21.Total.25to34.HS.Female","edu.22.Total.25to34.BA","edu.22.Total.25to34.BA.Male","edu.22.Total.25to34.BA.Female","edu.24.Total.35to44","edu.24.Total.35to44.Male","edu.24.Total.35to44.Female","edu.25.Total.35to44.HS","edu.25.Total.35to44.HS.Male","edu.25.Total.35to44.HS.Female","edu.26.Total.35to44.BA","edu.26.Total.35to44.BA.Male","edu.26.Total.35to44.BA.Female","edu.28.Total.45to64","edu.28.Total.45to64.Male","edu.28.Total.45to64.Female","edu.29.Total.45to64.HS","edu.29.Total.45to64.HS.Male","edu.29.Total.45to64.HS.Female","edu.30.Total.45to64.BA","edu.30.Total.45to64.BA.Male","edu.30.Total.45to64.BA.Female","edu.32.Total.65plus","edu.32.Total.65plus.Male","edu.32.Total.65plus.Female","edu.33.Total.65plus.HS","edu.33.Total.65plus.HS.Male","edu.33.Total.65plus.HS.Female","edu.34.Total.65plus.BA","edu.34.Total.65plus.BA.Male","edu.34.Total.65plus.BA.Female","fin.01.OccupiedHousingUnits","fin.03.LessThan5000","fin.04.5000to9999","fin.05.10000to14999","fin.06.15000to19999","fin.07.20000to24999","fin.08.25000to34999","fin.09.35000to49999","fin.10.50000to74999","fin.11.75000to99999","fin.12.100000to149999","fin.13.150000.or.more","fin.14.MedianHouseholdIncome","fin.LessThan5000","fin.5000to9999","fin.10000to14999","fin.15000to19999","fin.20000to24999","fin.25000to34999","fin.35000to49999","fin.50000to74999","fin.75000to99999","fin.100000to149999","fin.150000.or.more","race.Male","race.Female","race.Total","race.Asian","race.Asian.combination","race.Black","race.Black.combination","race.Hispanic","race.White","race.White.combination","race.White.NonHispanic"
"Hawaii",675214,9644,53542,20047,17492,77536,38761,11272,46133,67106,132463,107685,32454,61079,675214,439563,416124,23439,51886,24307,62348,47764,49346,134483,75365,59118,8519,3963,4556,51611,33464,18147,63452,34014,29438,10901,3924,6977,216396,117051,99345,206271,110957,95314,68023,31882,36141,177777,91264,86513,164107,82768,81339,61430,27956,33474,354588,175653,178935,327356,161669,165687,111530,53590,57940,237153,106797,130356,198185,91713,106472,68211,35184,33027,445936,2.9,2.4,3.2,3.4,3.4,6.8,10.9,17.8,14.5,18.8,15.9,73486,12932.144,10702.464,14269.952,15161.824,15161.824,30323.648,48607.024,79376.608,64660.72,83835.968,70903.824,502,533,1035,482,605,19,26,64,228,352,211
"Idaho",744228,38849,49187,70601,20626,88605,36443,13295,37180,73959,173935,70734,35360,35454,744228,519839,490456,29383,55706,50458,39669,19575,58981,156767,79751,77016,21822,12383,9439,53986,30618,23368,72765,32852,39913,8194,3898,4296,216810,109776,107034,195842,98188,97654,54439,26199,28240,204505,103047,101458,183703,90652,93051,60716,29640,31076,401403,198789,202614,365550,179594,185956,102239,51764,50475,243264,114197,129067,214353,101378,112975,59518,34570,24948,597421,3.6,3.6,5.5,5.8,6,12.1,14.9,18.9,12,11.7,5.8,48275,21507.156,21507.156,32858.155,34650.418,35845.26,72287.941,89015.729,112912.569,71690.52,69898.257,34650.418,585,597,1182,20,22,10,15,153,1110,1127,963
"Illinois",6196524,69182,330560,761364,194841,681449,376442,118002,453233,725420,1404791,568748,286454,226038,6196524,4642185,4423355,218830,541226,400068,224011,98568,290466,1237872,628615,609257,154211,89022,65189,357249,195374,161875,571238,276086,295152,155174,68133,87041,1773212,889312,883900,1621054,797392,823662,709146,321692,387454,1672605,834894,837711,1488042,736214,751828,625162,291957,333205,3387896,1657588,1730308,3033421,1468562,1564859,1074577,511499,563078,1828225,791259,1036966,1527819,665612,862207,444655,232349,212306,4794523,3.5,3.3,4.3,4.8,5,9.1,12.6,17.5,12.7,14.7,12.5,59588,167808.305,158219.259,206164.489,230137.104,239726.15,436301.593,604109.898,839041.525,608904.421,704794.881,599315.375,4714,5042,9757,616,659,1348,1387,1316,7648,7739,6382
"Indiana",3119966,46148,184729,593823,84131,359998,157851,51180,166396,258117,693683,279499,141495,102916,3119966,2383607,2289963,93644,269685,171130,110391,42907,142246,676373,344413,331960,107912,62122,45790,211407,117441,93966,293630,137353,156277,63424,27497,35927,842022,420387,421635,745968,367512,378456,247422,109415,138007,822598,411598,411000,739215,366765,372450,235174,101047,134127,1733629,850634,882995,1558576,755876,802700,423896,208626,215270,965324,421586,543738,805678,355660,450018,181628,96719,84909,2515143,3.3,3.4,5,5.6,5.6,11.3,15.3,19.3,12.5,11.9,6.9,50532,82999.719,85514.862,125757.15,140848.008,140848.008,284211.159,384816.879,485422.599,314392.875,299302.017,173544.867,2357,2556,4913,95,99,395,420,314,4365,4395,4062
"Iowa",1599893,60661,101009,251893,43598,186627,74075,27504,117400,113881,388003,122600,64782,47860,1599893,1148843,1097983,50860,139749,97279,88605,22383,103034,320642,165524,155118,34913,21093,13820,83647,47408,36239,170254,84026,86228,31828,12997,18831,392752,198783,193969,365952,183939,182013,131643,57344,74299,368059,186199,181860,339906,170580,169326,123606,56017,67589,812541,405193,407348,754516,371785,382731,202439,94763,107676,501152,221444,279708,442465,193810,248655,98903,53812,45091,1247249,2.7,3.2,5.1,4.9,5.2,10.2,14.1,20.4,13.9,13.1,7.3,54736,33675.723,39911.968,63609.699,61115.201,64856.948,127219.398,175862.109,254438.796,173367.611,163389.619,91049.177,1154,1182,2336,54,60,69,84,81,2171,2197,2099
"Kansas",1417069,48367,93008,172643,40356,158309,65055,29915,87721,132944,346269,116489,65139,60854,1417069,1004542,953801,50741,114574,102232,79134,29739,86848,302928,160097,142831,37791,22631,15160,89828,51348,38480,148277,74436,73841,27032,11682,15350,384499,196774,187725,346055,174530,171525,136905,62509,74396,347230,175374,171856,313155,156125,157030,122064,56764,65300,730698,361801,368897,669840,328130,341710,230446,111111,119335,426052,187878,238174,375675,166607,209068,109648,57958,51690,1111582,3.2,3.3,4.7,4.8,5.3,10,14.6,19.4,12.6,13.9,8.3,53906,35570.624,36682.206,52244.354,53355.936,58913.846,111158.2,162290.972,215646.908,140059.332,154509.898,92261.306,1037,1088,2125,76,84,129,139,216,1853,1892,1673
"Kentucky",1928967,49038,112185,275351,45617,235867,113365,30394,103324,151808,456914,177600,92038,85466,1928967,1398701,1342425,56276,150829,101515,127677,47101,103144,425719,218474,207245,60373,36773,23600,148269,84471,63798,185156,82564,102592,31921,14666,17255,561502,279772,281730,508192,248748,259444,154242,65220,89022,563472,282754,280718,500163,247339,252824,153497,65724,87773,1189688,581547,608141,1022517,487862,534655,263036,120793,142243,674128,295759,378369,513954,224357,289597,125399,65964,59435,1716168,3.7,5.5,6.6,6.3,6,11.4,14.6,18.1,11.1,10.3,6.2,45215,63498.216,94389.24,113267.088,108118.584,102970.08,195643.152,250560.528,310626.408,190494.648,176765.304,106402.416,1597,1725,3323,53,53,271,295,113,2943,2985,2842
"Louisiana",2037812,85425,161184,159504,51095,233825,103968,32702,105664,186636,481542,217691,108058,110518,2037812,1489660,1413223,76437,125358,146011,115106,46734,114943,459284,235246,224038,76591,44624,31967,150433,85243,65190,198157,90286,107871,34103,15093,19010,670600,327698,342902,583410,275591,307819,177467,77342,100125,578072,288942,289130,499048,243291,255757,145998,59922,86076,1192975,575309,617666,1021180,474975,546205,263418,116755,146663,653608,284257,369351,514847,223398,291449,131175,65581,65594,1737908,4.7,5.6,6.5,6.6,6.3,10.6,12.9,16.3,10.9,11.6,7.9,45727,81681.676,97322.848,112964.02,114701.928,109488.204,184218.248,224190.132,283279.004,189431.972,201597.328,137294.732,1645,1805,3450,82,85,1042,1072,165,2250,2280,2094
"Maine",648414,17435,46879,60634,13645,84900,24790,12550,40583,54109,181454,56483,29605,25347,648414,424528,398631,25897,81674,42437,27230,14343,58202,112229,58050,54179,13424,7166,6258,34849,18256,16593,53201,27213,25988,10755,5415,5340,151964,74340,77624,141424,68821,72603,49547,21160,28387,152672,75281,77391,145492,70899,74593,51524,20611,30913,406036,197963,208073,376336,179048,197288,112333,50041,62292,250568,113265,137303,218389,98381,120008,76149,40395,35754,545226,2.6,4,6.1,6.3,5.3,10.6,13.5,19.6,13.1,11.7,7.2,51494,14175.876,21809.04,33258.786,34349.238,28896.978,57793.956,73605.51,106864.296,71424.606,63791.442,39256.272,512,549,1061,11,13,9,19,10,1009,1036,999
"Maryland",3031466,13956,204648,139239,61207,300049,138259,65605,179443,470532,702633,268768,162058,325069,3031466,1941825,1836175,105650,295263,226451,123457,298557,145913,556183,283318,272865,61026,36143,24883,159573,89925,69648,258068,123717,134351,77516,33533,43983,834133,412273,421860,755441,364695,390746,337263,148459,188804,769729,374561,395168,698319,333663,364656,339348,152124,187224,1651639,788242,863397,1506580,711088,795492,638894,299015,339879,846985,365364,481621,716480,313110,403370,276109,145429,130680,2177934,2.5,2.5,3.1,3.2,3.4,7.2,10.5,17.1,13.4,18,19.1,75847,54448.35,54448.35,67515.954,69693.888,74049.756,156811.248,228683.07,372426.714,291843.156,392028.12,415985.394,2135,2407,4542,343,365,1325,1353,332,2752,2824,2508
