"NAME","ind.01.Civilian.16","ind.02.Agriculture.Forestry.Fish.Hunt.Mining","ind.03.Construction","ind.04.Manufacturing","ind.05.Wholesale.Trade","ind.06.Retail.Trade","ind.07.Transportation.Warehousing.Util","ind.08.Information","ind.09.Finance.Insurance.RealEstate","ind.10.Professional.Scientific.Mgmt.Admin.Waste","ind.11.Education.HealthCare.Social","ind.12.Arts.Entertain.Accomodation.FoodService","ind.13.OtherServices","ind.14.PublicAdministration","work.01.Civilian.16","work.02.Private.ForProfit","work.03.Private.ForProfit.Employee","work.04.Private.ForProfit.Self.Inc","work.05.Private.NonProfit","work.06.LocalGov","work.07.StateGov","work.08.FederalGov","work.09.Self.Employed","edu.02.Total.18to24","edu.02.Total.18.to24.Male","edu.02.Total.18to24.Female","edu.03.Total.18to24.LessHS","edu.03.Total.18to24.LessHS.Male","edu.03.Total.18to24.LessHS.Female","edu.04.Total.18to24.HS","edu.04.Total.1824.HS.Male","edu.04.Total.18to24.HS.Female","edu.05.Total.18to24.AA","edu.05.Total.18to24.AA.Male","edu.05.Total.18to24.AA.Female","edu.06.Total.18to24.BA","edu.06.Total.18to24.BA.Male","edu.06.Total.18to24.BA.Female","edu.20.Total.25to34","edu.20.Total.25to34.Male","edu.20.Total.25to34.Female","edu.21.Total.25to34.HS","edu.21.Total.25to34.HS.Male","edu.21.Total.25to34.HS.Female","edu.22.Total.25to34.BA","edu.22.Total.25to34.BA.Male","edu.22.Total.25to34.BA.Female","edu.24.Total.35to44","edu.24.Total.35to44.Male","edu.24.Total.35to44.Female","edu.25.Total.35to44.HS","edu.25.Total.35to44.HS.Male","edu.25.Total.35to44.HS.Female","edu.26.Total.35to44.BA","edu.26.Total.35to44.BA.Male","edu.26.Total.35to44.BA.Female","edu.28.Total.45to64","edu.28.Total.45to64.Male","edu.28.Total.45to64.Female","edu.29.Total.45to64.HS","edu.29.Total.45to64.HS.Male","edu.29.Total.45to64.HS.Female","edu.30.Total.45to64.BA","edu.30.Total.45to64.BA.Male","edu.30.Total.45to64.BA.Female","edu.32.Total.65plus","edu.32.Total.65plus.Male","edu.32.Total.65plus.Female","edu.33.Total.65plus.HS","edu.33.Total.65plus.HS.Male","edu.33.Total.65plus.HS.Female","edu.34.Total.65plus.BA","edu.34.Total.65plus.BA.Male","edu.34.Total.65plus.BA.Female","fin.01.OccupiedHousingUnits","fin.03.LessThan5000","fin.04.5000to9999","fin.05.10000to14999","fin.06.15000to19999","fin.07.20000to24999","fin.08.25000to34999","fin.09.35000to49999","fin.10.50000to74999","fin.11.75000to99999","fin.12.100000to149999","fin.13.150000.or.more","fin.14.MedianHouseholdIncome","fin.LessThan5000","fin.5000to9999","fin.10000to14999","fin.15000to19999","fin.20000to24999","fin.25000to34999","fin.35000to49999","fin.50000to74999","fin.75000to99999","fin.100000to149999","fin.150000.or.more","race.Male","race.Female","race.Total","race.Asian","race.Asian.combination","race.Black","race.Black.combination","race.Hispanic","race.White","race.White.combination","race.White.NonHispanic"
"Massachusetts",3522203,13583,190678,317217,80137,374569,129842,84925,259988,475989,990793,320117,155833,128532,3522203,2447803,2349474,98329,449411,237353,122188,54154,211294,700584,350262,350322,71420,44116,27304,192573,107784,84789,315353,144534,170819,121238,53828,67410,941776,467178,474598,881127,429939,451188,479197,218038,261159,838603,411344,427259,770547,376007,394540,387501,177834,209667,1882039,910482,971557,1714171,821174,892997,749731,356255,393476,1044226,448520,595706,881450,381008,500442,335260,173340,161920,2559951,2.9,3.1,4.9,4.1,3.8,7.6,10.2,15.7,12.1,17.2,18.3,70628,74238.579,79358.481,125437.599,104957.991,97278.138,194556.276,261115.002,401912.307,309754.071,440311.572,468471.033,2504,2775,5279,325,345,408,454,462,4441,4513,4113
"Michigan",4512641,52583,232361,816076,112711,515042,192252,66460,244413,423264,1059969,440253,203191,154066,4512641,3399908,3248796,151112,426684,224233,180078,61496,220242,986405,502730,483675,128219,77060,51159,284916,159798,125118,477521,224130,253391,95749,41742,54007,1221558,614827,606731,1114078,554218,559860,385851,172737,213114,1175407,583225,592182,1072519,526331,546188,378272,173363,204909,2760741,1351928,1408813,2529571,1223614,1305957,738421,354843,383578,1570641,695418,875223,1349279,599103,750176,367929,198175,169754,3858532,3.7,4,5.1,5.4,5.6,10.6,14.4,18.7,12,12.2,8.3,51084,142765.684,154341.28,196785.132,208360.728,216077.792,409004.392,555628.608,721545.484,463023.84,470740.904,320258.156,3615,3961,7576,277,291,979,1026,395,6164,6243,5836
"Minnesota",2913176,63248,177870,390950,85385,320261,133184,49606,212642,285602,726879,246021,129798,91730,2913176,2088972,1976098,112874,336004,181084,108954,36784,161378,505761,256708,249053,66536,37740,28796,138996,79931,59065,235159,112508,122651,65070,26529,38541,745711,377283,368428,696370,348968,347402,303598,138647,164951,675937,341891,334046,628703,316143,312560,270410,122140,148270,1474329,734602,739727,1390790,687706,703084,494051,237638,256413,804958,361152,443806,717766,320888,396878,215948,113654,102294,2147262,2.2,2.7,4,4.2,4.7,8.5,12.9,18.9,14,15.9,12.1,63488,47239.764,57976.074,85890.48,90185.004,100921.314,182517.27,276996.798,405832.518,300616.68,341414.658,259818.702,2007,2097,4104,112,119,196,220,183,3670,3715,3538
"Mississippi",1206679,34649,82795,164689,31998,143673,70185,14494,56776,81278,292136,115098,54725,64183,1206679,855812,816664,39148,71128,67030,111414,38113,63182,311989,156653,155336,49158,29765,19393,90111,48735,41376,153465,69978,83487,19255,8175,11080,373921,184950,188971,327020,156645,170375,86420,35095,51325,385487,187030,198457,332827,153762,179065,85720,35356,50364,751968,360571,391397,631518,292477,339041,147914,62209,85705,440961,189986,250975,338163,145939,192224,86545,43380,43165,1104371,5.5,6,6.9,7.4,6.9,11.6,14.3,16.6,10.8,9.4,4.6,40593,60740.405,66262.26,76201.599,81723.454,76201.599,128107.036,157925.053,183325.586,119272.068,103810.874,50801.066,1028,1154,2182,27,33,769,779,60,1352,1377,1308
"Missouri",2880309,51255,185637,332665,76466,341614,153838,57136,191685,282024,691263,263903,134897,117926,2880309,2063558,1976490,87068,305236,160482,122826,64217,163990,593894,302843,291051,82094,47271,34823,178672,100904,77768,276496,131859,144637,56632,22809,33823,796209,397613,398596,726046,356937,369109,259997,112865,147132,733744,365077,368667,665921,325571,340350,244004,107281,136723,1616311,789776,826535,1450766,697039,753727,430816,195447,235369,950948,416051,534897,800855,353599,447256,206043,111729,94314,2374180,3.2,3.8,5.6,5.4,5.8,11.1,14.7,18.7,12,12,7.6,50238,75973.76,90218.84,132954.08,128205.72,137702.44,263533.98,349004.46,443971.66,284901.6,284901.6,180437.68,2172,2333,4505,76,93,485,508,88,3861,3917,3779
"Montana",489875,34242,45581,20210,11549,55990,22500,9067,26248,39136,118442,50739,24946,31225,489875,306411,276407,30004,46174,38953,34848,16728,46761,100393,53454,46939,16220,9098,7122,35650,19743,15907,42521,22733,19788,6002,1880,4122,128657,65615,63042,120750,61201,59549,42354,17657,24697,118633,60753,57880,112958,57667,55291,43277,18807,24470,280108,138575,141533,264068,129381,134687,78686,37862,40824,178931,85187,93744,162980,77652,85328,51857,29627,22230,414804,3.2,4,5.6,5.5,6.6,11.1,14.4,19.7,11.8,11.5,6.7,49509,13273.728,16592.16,23229.024,22814.22,27377.064,46043.244,59731.776,81716.388,48946.872,47702.46,27791.868,392,396,788,5,5,3,3,16,728,742,714
"Nebraska",986789,43998,67973,103781,30240,115840,56040,16716,71882,83969,237298,80332,41504,37216,986789,696019,660636,35383,91819,65664,49528,19939,63820,192977,98599,94378,22584,13556,9028,50520,28686,21834,95740,46649,49091,24133,9708,14425,252652,129028,123624,232501,116654,115847,87702,39785,47917,232446,118967,113479,208517,106244,102273,83941,37427,46514,468794,232232,236562,434141,213142,220999,137209,65232,71977,278691,123285,155406,246798,109392,137406,63436,34394,29042,744159,2.6,3.1,4.9,4.8,5.5,10.2,14.1,19.3,13.2,13.9,8.3,54996,19348.134,23068.929,36463.791,35719.632,40928.745,75904.218,104926.419,143622.687,98228.988,103438.101,61765.197,688,712,1400,22,22,55,65,135,1295,1306,1165
"Nevada",1331796,20942,82523,59517,26949,161712,68982,18642,80795,154984,202212,341021,59490,54027,1331796,1063460,1023312,40148,46704,82641,40610,28663,69718,254123,129724,124399,47331,28460,18871,88796,48839,39957,105235,48389,56846,12761,4036,8725,411910,209071,202839,359446,180563,178883,88576,39110,49466,388122,196075,192047,325999,164424,161575,96635,44769,51866,746023,372995,373028,636633,314146,322487,173354,86275,87079,422112,199464,222648,362728,174692,188036,105116,59636,45480,1042065,3.5,3,4.6,4.8,5.5,11.1,14.9,19.1,13.1,12.4,8.1,52431,36472.275,31261.95,47934.99,50019.12,57313.575,115669.215,155267.685,199034.415,136510.515,129216.06,84407.265,1055,1073,2128,181,193,193,203,527,1571,1626,1143
"New Hampshire",713313,6034,47114,90748,20656,87537,28853,15180,45261,77758,179012,59727,29389,26044,713313,497491,475296,22195,77457,50275,26439,14777,46874,130063,66388,63675,14427,7891,6536,41363,24361,17002,58383,27181,31202,15890,6955,8935,155315,79484,75831,147196,75139,72057,63277,27992,35285,156414,77413,79001,147069,70866,76203,61992,28498,33494,407128,200215,206913,382740,185854,196886,141013,68352,72661,218357,99408,118949,195568,88709,106859,68031,37770,30261,517615,1.7,2.3,3.4,3.9,4.4,7.5,11.9,17.8,14.6,17.4,15.1,70303,8799.455,11905.145,17598.91,20186.985,22775.06,38821.125,61596.185,92135.47,75571.79,90065.01,78159.865,512,535,1047,23,25,15,18,23,996,1006,974
"New Jersey",4374536,14505,257973,349687,151810,494289,254649,121905,371069,579806,1033529,374341,199426,171547,4374536,3288446,3118605,169841,288832,303806,202831,70902,219719,792764,408466,384298,92194,54099,38095,215678,119962,95716,364141,180401,183740,120751,54004,66747,1151980,582264,569716,1060132,527132,533000,502996,226449,276547,1168897,576550,592347,1057841,512788,545053,506306,229071,277235,2502556,1212099,1290457,2269355,1089992,1179363,931363,454847,476516,1342951,573017,769934,1104297,477764,626533,377408,203351,174057,3187963,3,2.7,3.6,4,4.2,7.7,10.5,15.6,12.2,17,19.5,72222,95638.89,86075.001,114766.668,127518.52,133894.446,245473.151,334736.115,497322.228,388931.486,541953.71,621652.785,3277,3543,6820,641,655,953,972,1229,5146,5194,4036
"New Mexico",879807,37116,63790,31495,21356,105213,38361,13988,39444,102638,219477,103738,42255,60936,879807,568472,538306,30166,65112,74540,68791,45788,57104,208145,106747,101398,37642,22360,15282,62173,35479,26694,98641,45193,53448,9689,3715,5974,272426,142245,130181,231232,116986,114246,59093,26467,32626,246672,125403,121269,207735,105414,102321,60654,23767,36887,527856,255280,272576,455314,216198,239116,145729,65783,79946,330594,149741,180853,271659,124223,147436,98986,51172,47814,761797,4.6,5.2,6.4,6.4,6.4,11.3,13.7,17.1,11,11,6.9,45382,35042.662,39613.444,48755.008,48755.008,48755.008,86083.061,104366.189,130267.287,83797.67,83797.67,52563.993,739,797,1536,33,35,40,47,601,1234,1254,674
"New York",9473337,52298,535021,577352,235404,1001975,515243,280858,744778,1104596,2599743,933041,473357,419671,9473337,6513917,6158371,355546,968088,862011,403652,156470,569199,1941151,974775,966376,231056,133457,97599,508223,283316,224907,896102,430675,465427,305770,127327,178443,2875580,1432316,1443264,2582494,1264282,1318212,1267773,558688,709085,2498772,1226428,1272344,2189035,1060819,1128216,991369,448665,542704,5304674,2562161,2742513,4608622,2202875,2405747,1720202,798728,921474,2962447,1261783,1700664,2345455,1020560,1324895,799119,405713,393406,7233694,3.7,4.1,5,4.8,4.7,8.6,11.4,16.3,11.8,14.7,15,60850,267646.678,296581.454,361684.7,347217.312,339983.618,622097.684,824641.116,1179092.122,853575.892,1063353.018,1085054.1,7294,7980,15274,1206,1269,2581,2734,2394,11147,11351,9385
"North Carolina",4550972,55694,329035,569884,118604,536727,193305,81815,288582,486978,1046815,434277,215257,193999,4550972,3320582,3162549,158033,311941,243226,302670,105573,266980,992108,522805,469303,141265,82452,58813,305851,181300,124551,451025,220657,230368,93967,38396,55571,1298130,635979,662151,1143191,545210,597981,416402,173777,242625,1312886,641272,671614,1149848,545542,604306,435224,188626,246598,2636083,1265490,1370593,2330457,1091008,1239449,770394,353002,417392,1515545,658879,856666,1229729,537078,692651,369037,194243,174794,3843745,3.5,3.9,6.1,6,5.9,11.5,14.7,17.8,11.4,11.2,7.9,47830,134531.075,149906.055,234468.445,230624.7,226780.955,442030.675,565030.515,684186.61,438186.93,430499.44,303655.855,3510,3902,7412,190,198,1572,1628,602,5415,5492,4878
"North Dakota",404589,38380,32190,27497,16179,47045,23354,4835,20660,27754,96621,33377,19069,17628,404589,269626,256475,13151,42030,28078,20465,11379,33011,93597,49443,44154,9624,5855,3769,24590,14720,9870,47163,23458,23705,12220,5410,6810,114100,63292,50808,108196,59061,49135,40646,18155,22491,86540,46615,39925,83699,44829,38870,27905,12754,15151,184020,93516,90504,173824,87294,86530,53559,25106,28453,107357,48192,59165,89330,39607,49723,21293,10768,10525,313475,2.4,3.2,5,4.1,4.7,9.4,13.9,17.1,13.4,15.9,11,60557,7523.4,10031.2,15673.75,12852.475,14733.325,29466.65,43573.025,53604.225,42005.65,49842.525,34482.25,290,276,567,10,14,10,11,19,516,526,501
"Ohio",5489742,59551,275279,851930,149496,644061,277804,90201,357225,511149,1308215,513686,244520,206625,5489742,4039723,3891505,148218,501858,371514,190065,99457,287125,1087145,551057,536088,149417,83752,65665,355266,200145,155121,476502,222728,253774,105960,44432,61528,1486363,743574,742789,1367228,677809,689419,476381,214757,261624,1400811,695494,705317,1281114,625890,655224,446560,199595,246965,3169742,1549113,1620629,2891451,1405400,1486051,820319,396705,423614,1839554,798960,1040594,1543403,673716,869687,371856,198699,173157,4606655,3.6,4.1,5.3,5.5,5.5,10.7,14.1,18.5,12.2,12.4,8,51075,165839.58,188872.855,244152.715,253366.025,253366.025,492912.085,649538.355,852231.175,562011.91,571225.22,368532.4,4197,4575,8772,231,259,1024,1089,192,7404,7501,7235
"Oklahoma",1753445,87940,127995,167293,46421,206507,91952,30506,97660,148477,390813,166058,90762,101061,1753445,1243674,1179700,63974,117491,96119,120479,67269,108413,392378,203924,188454,66254,37332,28922,127197,72567,54630,169139,81984,87155,29788,12041,17747,535955,271258,264697,476266,237880,238386,135896,60483,75413,479383,241435,237948,420832,209179,211653,127632,56983,70649,966494,472884,493610,849664,409490,440174,236307,111407,124900,576031,255984,320047,486443,219472,266971,130169,71290,58879,1465951,3.6,4.2,5.7,5.8,6.1,10.9,14.8,18.9,11.6,11.2,7.2,48568,52774.236,61569.942,83559.207,85025.158,89423.011,159788.659,216960.748,277064.739,170050.316,164186.512,105548.472,1394,1457,2851,65,71,192,203,267,2262,2403,2038
"Oregon",1881255,65512,107737,213118,53318,225153,77274,34847,101452,212773,433669,184591,88104,83707,1881255,1303535,1228312,75223,178120,117111,100119,40106,142264,363364,183929,179435,55106,34263,20843,109704,59524,50180,163286,75175,88111,35268,14967,20301,553310,279512,273798,503719,251338,252381,189883,85396,104487,527375,266796,260579,468474,234173,234301,194256,89612,104644,1063998,520757,543241,959198,466676,492522,324700,157809,166891,659778,301459,358319,593485,273261,320224,192828,103430,89398,1553205,3.1,3.7,4.9,5.1,5.3,10.6,13.6,18.8,12.6,13.1,9.3,54148,48149.355,57468.585,76107.045,79213.455,82319.865,164639.73,211235.88,292002.54,195703.83,203469.855,144448.065,1512,1566,3078,123,125,56,63,322,2768,2839,2475
"Pennsylvania",6109670,89640,346372,741110,174256,701437,330474,99582,381785,630352,1562965,526093,283360,242244,6109670,4454103,4287443,166660,716100,310216,198009,119585,311657,1214756,618005,596751,150500,87002,63498,398081,220722,177359,523401,251830,271571,142774,58451,84323,1648641,830794,817847,1518212,755930,762282,623873,279167,344706,1501855,746937,754918,1375299,674943,700356,535516,240628,294888,3564038,1746097,1817941,3254457,1579119,1675338,1009039,483912,525127,2181193,942140,1239053,1830609,795689,1034920,472595,258056,214539,4956037,3,3.7,4.9,5.2,5,9.9,13.3,18.4,12.8,13.5,10.3,55702,148681.11,183373.369,242845.813,257713.924,247801.85,490647.663,659152.921,911910.808,634372.736,669064.995,510471.811,4779,5145,9924,295,322,1001,1076,689,8451,8600,8015
"Rhode Island",524975,2182,27396,60010,16246,61602,19422,8301,33971,48899,143781,58377,23162,21626,524975,379430,363007,16423,56733,31689,20080,11327,25716,114340,56648,57692,11114,7439,3675,32621,17240,15381,55722,26086,29636,14883,5883,9000,143020,71743,71277,130237,64504,65733,51879,24142,27737,123682,61186,62496,111451,53963,57488,43347,18392,24955,292849,140937,151912,261474,124349,137125,98950,46604,52346,170532,72890,97642,136877,59759,77118,44642,24354,20288,407484,3.9,4.1,5.6,4.6,4.7,8.8,12.1,16.5,13.1,14.8,11.8,58073,15891.876,16706.844,22819.104,18744.264,19151.748,35858.592,49305.564,67234.86,53380.404,60307.632,48083.112,387,432,819,23,24,55,69,75,717,736,659
"South Carolina",2165702,22037,138903,301688,57417,263192,100414,40960,126989,215323,470753,221811,111964,94251,2165702,1594060,1528453,65607,134379,117275,153389,46871,119728,487006,250386,236620,62383,34945,27438,164465,95608,68857,218004,103398,114606,42154,16435,25719,631579,314957,316622,561787,273099,288688,184488,79727,104761,600449,291376,309073,528275,248532,279743,170940,72307,98633,1293850,614439,679411,1135652,526642,609010,342966,160857,182109,793954,352949,441005,640263,289436,350827,191847,108962,82885,1857768,4,4.1,6.2,5.8,6.1,11.2,14.6,18.7,11.7,10.7,6.8,47238,74310.72,76168.488,115181.616,107750.544,113323.848,208070.016,271234.128,347402.616,217358.856,198781.176,126328.224,1730,1937,3667,50,53,965,978,171,2622,2632,2477
"South Dakota",436852,29093,32182,45422,12632,45981,19976,6577,30383,28537,106014,41711,19241,19103,436852,287471,269240,18231,49986,29876,19450,12476,37593,85681,44388,41293,12173,6974,5199,25843,14397,11446,39371,20098,19273,8294,2919,5375,111923,57233,54690,102933,52245,50688,35034,15951,19083,98348,50998,47350,90667,46310,44357,31126,13723,17403,218324,109321,109003,204279,100627,103652,57585,25798,31787,134513,61290,73223,115187,52324,62863,31140,17159,13981,339437,2.6,3.5,5.5,4.6,5.5,10.6,14.9,19.7,14.2,12,7,53017,8825.362,11880.295,18669.035,15614.102,18669.035,35980.322,50576.113,66869.089,48200.054,40732.44,23760.59,308,317,625,4,4,12,14,12,562,565,551
"Tennessee",2998814,28833,178799,390879,81434,370274,193532,54708,171030,297811,672449,286287,153214,119564,2998814,2163615,2101951,61664,227718,211347,122380,70495,203259,633012,320102,312910,66248,39104,27144,230156,126325,103831,278756,131925,146831,57852,22748,35104,865801,426347,439454,777408,376913,400495,264324,115610,148714,841160,416003,425157,744572,359885,384687,248145,110307,137838,1750746,844199,906547,1530805,722892,807913,430377,199022,231355,1015780,448323,567457,796897,352279,444618,208234,115302,92932,2530260,3.7,4.3,6,5.9,6.2,11.4,14.9,18.5,11.1,10.8,7.2,47275,93619.62,108801.18,151815.6,149285.34,156876.12,288449.64,377008.74,468098.1,280858.86,273268.08,182178.72,2366,2609,4975,84,91,793,803,202,4014,4079,3821
"Texas",12693901,434422,1032811,1102394,385618,1483751,727529,228993,831946,1444739,2692663,1158080,654384,516571,12693901,9514246,9169433,344813,696458,796722,573461,270169,842845,2787469,1434799,1352670,445677,257721,187956,896395,498979,397416,1224498,587296,637202,220899,90803,130096,3977864,2019364,1958500,3447694,1716343,1731351,1170897,521988,648909,3725435,1857740,1867695,3071942,1503640,1568302,1143876,523926,619950,6548055,3210846,3337209,5381499,2606510,2774989,1835358,907150,928208,3221507,1428111,1793396,2500584,1131415,1369169,805243,447978,357265,9421412,3.2,3.4,4.7,5,5.3,10.1,13.5,18,12,13.5,11.4,55653,301485.184,320328.008,442806.364,471070.6,499334.836,951562.612,1271890.62,1695854.16,1130569.44,1271890.62,1074040.968,9412,9941,19354,853,877,2327,2402,6762,15676,15905,9238
"Utah",1414337,27880,95518,160034,39870,174176,63254,30519,95405,167707,294547,130400,63294,71733,1414337,1037714,978244,59470,107945,79504,78436,43254,67484,341637,172958,168679,43390,25436,17954,105883,60594,45289,169008,79592,89416,23356,7336,16020,440506,223444,217062,406490,203398,203092,138030,67945,70085,402256,205010,197246,367206,187238,179968,134743,72335,62408,591345,293456,297889,540441,266523,273918,189976,102644,87332,307842,142599,165243,280046,130704,149342,91963,54317,37646,930980,2.3,2.2,3.5,3.5,4.2,9.1,13.6,20.8,15,15.4,10.4,62912,21412.54,20481.56,32584.3,32584.3,39101.16,84719.18,126613.28,193643.84,139647,143370.92,96821.92,1011,1016,2026,37,43,26,34,222,1919,1939,1704
"Vermont",327841,7978,23105,35990,7070,37554,11140,7587,15579,28190,92695,31142,14035,15776,327841,203291,189015,14276,50871,21815,15442,7592,28830,67228,34843,32385,5619,3358,2261,17715,9464,8251,34136,17429,16707,9758,4592,5166,70733,35754,34979,64762,32011,32751,27518,11847,15671,69851,34350,35501,65940,31537,34403,26884,11814,15070,187986,91569,96417,175554,83859,91695,67437,29383,38054,110084,50292,59792,95929,43169,52760,40233,19804,20429,254865,1.9,3,5.3,5.4,5.6,9.2,13.1,19.3,14.2,14.1,8.9,56990,4842.435,7645.95,13507.845,13762.71,14272.44,23447.58,33387.315,49188.945,36190.83,35935.965,22682.985,240,253,493,7,8,4,6,4,475,480,471
"Virginia",4081600,41564,264211,292968,80107,440930,170067,82960,262304,600339,893646,372891,222770,356843,4081600,2743044,2607058,135986,322364,304109,168006,335425,208652,827861,426987,400874,84270,49034,35236,252719,144733,107986,392124,194283,197841,98748,38937,59811,1172805,591551,581254,1082827,539613,543214,464470,208555,255915,1095902,546013,549889,998933,489396,509537,464488,216224,248264,2229167,1080825,1148342,2004880,954245,1050635,823350,400114,423236,1187444,524430,663014,968917,431640,537277,349736,190781,158955,3106895,2.8,2.9,3.8,3.9,4.2,8.3,12,17.4,12.8,16,15.8,66262,86993.06,90099.955,118062.01,121168.905,130489.59,257872.285,372827.4,540599.73,397682.56,497103.2,490889.41,2975,3246,6221,438,477,1188,1233,389,4480,4540,4145
"Washington",3397974,90552,220035,350048,97515,398511,184739,74707,184280,423282,725258,315472,160199,173376,3397974,2388787,2254443,134344,268391,218761,210105,104305,207625,669067,348769,320298,92652,52829,39823,209996,119047,90949,296796,145617,151179,69623,31276,38347,1050364,540210,510154,958369,487296,471073,373612,174881,198731,926769,469609,457160,837347,419551,417796,345156,163506,181650,1875555,929159,946396,1715294,841631,873663,621964,306991,314973,1036626,473605,563021,930073,431602,498471,330161,183949,146212,2728573,2.7,3,3.8,3.8,4.2,8.7,12.8,18.2,13.8,15.8,13.3,64129,73671.471,81857.19,103685.774,103685.774,114600.066,237385.851,349257.344,496600.286,376543.074,431114.534,362900.209,2616,2717,5333,451,483,195,236,635,4238,4407,3716
"West Virginia",738438,30840,46635,54976,16555,90100,39036,10825,29253,59098,211493,69272,30674,49681,738438,510776,496176,14600,57757,51615,58889,25660,33741,164334,85937,78397,18997,10875,8122,61194,37448,23746,71040,32979,38061,13103,4635,8468,217874,108557,109317,197532,98412,99120,57056,25453,31603,230444,116250,114194,210834,104454,106380,49498,20634,28864,515668,254978,260690,450405,217569,232836,95396,44559,50837,336361,151128,185233,259461,114701,144760,52464,28705,23759,734536,4,5.7,6.6,7.2,6.7,11.8,15.6,17.3,10.8,9.5,4.8,42019,29381.44,41868.552,48479.376,52886.592,49213.912,86675.248,114587.616,127074.728,79329.888,69780.92,35257.728,705,744,1449,10,10,41,49,18,1376,1390,1360
"Wisconsin",2959655,70472,166958,545817,77350,336036,129628,45447,178380,242636,684079,262062,120893,99897,2959655,2178590,2088628,89962,263330,191280,130265,38084,158106,560301,283999,276302,62206,35345,26861,176145,100221,75924,259581,122933,136648,62369,25500,36869,725456,369768,355688,676867,340228,336639,243575,107067,136508,696695,353127,343568,639343,320115,319228,233562,103935,129627,1596083,794622,801461,1480795,729011,751784,436597,205463,231134,900763,403895,496868,786448,352937,433511,198724,105135,93589,2319538,2.5,2.9,4.7,4.8,5.5,10.3,14,19.9,14,13.6,7.9,55638,57988.45,67266.602,109018.286,111337.824,127574.59,238912.414,324735.32,461588.062,324735.32,315457.168,183243.502,2136,2220,4356,106,116,230,270,248,3933,4011,3715
"Wyoming",295328,38111,21473,12181,5422,35044,16963,4279,11271,18985,65559,33510,13768,18762,295328,198145,185501,12644,19183,30796,21701,6677,18826,57860,30355,27505,8953,5052,3901,19757,12019,7738,26466,12258,14208,2684,1026,1658,82440,41573,40867,75566,38277,37289,21981,10761,11220,72140,37595,34545,68283,35248,33035,20335,9187,11148,151620,75517,76103,139587,69649,69938,36852,17660,19192,82547,39255,43292,74886,35602,39284,22866,12940,9926,228937,2.2,2.5,4.5,4.7,4.8,9.5,13.4,18.8,14.4,17.1,8.1,60214,5036.614,5723.425,10302.165,10760.039,10988.976,21749.015,30677.558,43040.156,32966.928,39148.227,18543.897,223,217,441,3,4,11,11,29,407,414,384
