"edu.GEO.id2","edu.NAME","edu.02.Total.18to24","edu.02.Total.18.to24.Male","edu.02.Total.18to24.Female","edu.03.Total.18to24.LessHS","edu.03.Total.18to24.LessHS.Male","edu.03.Total.18to24.LessHS.Female","edu.04.Total.18to24.HS","edu.04.Total.1824.HS.Male","edu.04.Total.18to24.HS.Female","edu.05.Total.18to24.AA","edu.05.Total.18to24.AA.Male","edu.05.Total.18to24.AA.Female","edu.06.Total.18to24.BA","edu.06.Total.18to24.BA.Male","edu.06.Total.18to24.BA.Female","edu.20.Total.25to34","edu.20.Total.25to34.Male","edu.20.Total.25to34.Female","edu.21.Total.25to34.HS","edu.21.Total.25to34.HS.Male","edu.21.Total.25to34.HS.Female","edu.22.Total.25to34.BA","edu.22.Total.25to34.BA.Male","edu.22.Total.25to34.BA.Female","edu.24.Total.35to44","edu.24.Total.35to44.Male","edu.24.Total.35to44.Female","edu.25.Total.35to44.HS","edu.25.Total.35to44.HS.Male","edu.25.Total.35to44.HS.Female","edu.26.Total.35to44.BA","edu.26.Total.35to44.BA.Male","edu.26.Total.35to44.BA.Female","edu.28.Total.45to64","edu.28.Total.45to64.Male","edu.28.Total.45to64.Female","edu.29.Total.45to64.HS","edu.29.Total.45to64.HS.Male","edu.29.Total.45to64.HS.Female","edu.30.Total.45to64.BA","edu.30.Total.45to64.BA.Male","edu.30.Total.45to64.BA.Female","edu.32.Total.65plus","edu.32.Total.65plus.Male","edu.32.Total.65plus.Female","edu.33.Total.65plus.HS","edu.33.Total.65plus.HS.Male","edu.33.Total.65plus.HS.Female","edu.34.Total.65plus.BA","edu.34.Total.65plus.BA.Male","edu.34.Total.65plus.BA.Female"
"17","Illinois","1237872","628615","609257","154211","89022","65189","357249","195374","161875","571238","276086","295152","155174","68133","87041","1773212","889312","883900","1621054","797392","823662","709146","321692","387454","1672605","834894","837711","1488042","736214","751828","625162","291957","333205","3387896","1657588","1730308","3033421","1468562","1564859","1074577","511499","563078","1828225","791259","1036966","1527819","665612","862207","444655","232349","212306"
"18","Indiana","676373","344413","331960","107912","62122","45790","211407","117441","93966","293630","137353","156277","63424","27497","35927","842022","420387","421635","745968","367512","378456","247422","109415","138007","822598","411598","411000","739215","366765","372450","235174","101047","134127","1733629","850634","882995","1558576","755876","802700","423896","208626","215270","965324","421586","543738","805678","355660","450018","181628","96719","84909"
"19","Iowa","320642","165524","155118","34913","21093","13820","83647","47408","36239","170254","84026","86228","31828","12997","18831","392752","198783","193969","365952","183939","182013","131643","57344","74299","368059","186199","181860","339906","170580","169326","123606","56017","67589","812541","405193","407348","754516","371785","382731","202439","94763","107676","501152","221444","279708","442465","193810","248655","98903","53812","45091"
"20","Kansas","302928","160097","142831","37791","22631","15160","89828","51348","38480","148277","74436","73841","27032","11682","15350","384499","196774","187725","346055","174530","171525","136905","62509","74396","347230","175374","171856","313155","156125","157030","122064","56764","65300","730698","361801","368897","669840","328130","341710","230446","111111","119335","426052","187878","238174","375675","166607","209068","109648","57958","51690"
"21","Kentucky","425719","218474","207245","60373","36773","23600","148269","84471","63798","185156","82564","102592","31921","14666","17255","561502","279772","281730","508192","248748","259444","154242","65220","89022","563472","282754","280718","500163","247339","252824","153497","65724","87773","1189688","581547","608141","1022517","487862","534655","263036","120793","142243","674128","295759","378369","513954","224357","289597","125399","65964","59435"
"22","Louisiana","459284","235246","224038","76591","44624","31967","150433","85243","65190","198157","90286","107871","34103","15093","19010","670600","327698","342902","583410","275591","307819","177467","77342","100125","578072","288942","289130","499048","243291","255757","145998","59922","86076","1192975","575309","617666","1021180","474975","546205","263418","116755","146663","653608","284257","369351","514847","223398","291449","131175","65581","65594"
"23","Maine","112229","58050","54179","13424","7166","6258","34849","18256","16593","53201","27213","25988","10755","5415","5340","151964","74340","77624","141424","68821","72603","49547","21160","28387","152672","75281","77391","145492","70899","74593","51524","20611","30913","406036","197963","208073","376336","179048","197288","112333","50041","62292","250568","113265","137303","218389","98381","120008","76149","40395","35754"
"24","Maryland","556183","283318","272865","61026","36143","24883","159573","89925","69648","258068","123717","134351","77516","33533","43983","834133","412273","421860","755441","364695","390746","337263","148459","188804","769729","374561","395168","698319","333663","364656","339348","152124","187224","1651639","788242","863397","1506580","711088","795492","638894","299015","339879","846985","365364","481621","716480","313110","403370","276109","145429","130680"
"25","Massachusetts","700584","350262","350322","71420","44116","27304","192573","107784","84789","315353","144534","170819","121238","53828","67410","941776","467178","474598","881127","429939","451188","479197","218038","261159","838603","411344","427259","770547","376007","394540","387501","177834","209667","1882039","910482","971557","1714171","821174","892997","749731","356255","393476","1044226","448520","595706","881450","381008","500442","335260","173340","161920"
"26","Michigan","986405","502730","483675","128219","77060","51159","284916","159798","125118","477521","224130","253391","95749","41742","54007","1221558","614827","606731","1114078","554218","559860","385851","172737","213114","1175407","583225","592182","1072519","526331","546188","378272","173363","204909","2760741","1351928","1408813","2529571","1223614","1305957","738421","354843","383578","1570641","695418","875223","1349279","599103","750176","367929","198175","169754"
"27","Minnesota","505761","256708","249053","66536","37740","28796","138996","79931","59065","235159","112508","122651","65070","26529","38541","745711","377283","368428","696370","348968","347402","303598","138647","164951","675937","341891","334046","628703","316143","312560","270410","122140","148270","1474329","734602","739727","1390790","687706","703084","494051","237638","256413","804958","361152","443806","717766","320888","396878","215948","113654","102294"
"28","Mississippi","311989","156653","155336","49158","29765","19393","90111","48735","41376","153465","69978","83487","19255","8175","11080","373921","184950","188971","327020","156645","170375","86420","35095","51325","385487","187030","198457","332827","153762","179065","85720","35356","50364","751968","360571","391397","631518","292477","339041","147914","62209","85705","440961","189986","250975","338163","145939","192224","86545","43380","43165"
"29","Missouri","593894","302843","291051","82094","47271","34823","178672","100904","77768","276496","131859","144637","56632","22809","33823","796209","397613","398596","726046","356937","369109","259997","112865","147132","733744","365077","368667","665921","325571","340350","244004","107281","136723","1616311","789776","826535","1450766","697039","753727","430816","195447","235369","950948","416051","534897","800855","353599","447256","206043","111729","94314"
"30","Montana","100393","53454","46939","16220","9098","7122","35650","19743","15907","42521","22733","19788","6002","1880","4122","128657","65615","63042","120750","61201","59549","42354","17657","24697","118633","60753","57880","112958","57667","55291","43277","18807","24470","280108","138575","141533","264068","129381","134687","78686","37862","40824","178931","85187","93744","162980","77652","85328","51857","29627","22230"
"31","Nebraska","192977","98599","94378","22584","13556","9028","50520","28686","21834","95740","46649","49091","24133","9708","14425","252652","129028","123624","232501","116654","115847","87702","39785","47917","232446","118967","113479","208517","106244","102273","83941","37427","46514","468794","232232","236562","434141","213142","220999","137209","65232","71977","278691","123285","155406","246798","109392","137406","63436","34394","29042"
"32","Nevada","254123","129724","124399","47331","28460","18871","88796","48839","39957","105235","48389","56846","12761","4036","8725","411910","209071","202839","359446","180563","178883","88576","39110","49466","388122","196075","192047","325999","164424","161575","96635","44769","51866","746023","372995","373028","636633","314146","322487","173354","86275","87079","422112","199464","222648","362728","174692","188036","105116","59636","45480"
"33","New Hampshire","130063","66388","63675","14427","7891","6536","41363","24361","17002","58383","27181","31202","15890","6955","8935","155315","79484","75831","147196","75139","72057","63277","27992","35285","156414","77413","79001","147069","70866","76203","61992","28498","33494","407128","200215","206913","382740","185854","196886","141013","68352","72661","218357","99408","118949","195568","88709","106859","68031","37770","30261"
"34","New Jersey","792764","408466","384298","92194","54099","38095","215678","119962","95716","364141","180401","183740","120751","54004","66747","1151980","582264","569716","1060132","527132","533000","502996","226449","276547","1168897","576550","592347","1057841","512788","545053","506306","229071","277235","2502556","1212099","1290457","2269355","1089992","1179363","931363","454847","476516","1342951","573017","769934","1104297","477764","626533","377408","203351","174057"
"35","New Mexico","208145","106747","101398","37642","22360","15282","62173","35479","26694","98641","45193","53448","9689","3715","5974","272426","142245","130181","231232","116986","114246","59093","26467","32626","246672","125403","121269","207735","105414","102321","60654","23767","36887","527856","255280","272576","455314","216198","239116","145729","65783","79946","330594","149741","180853","271659","124223","147436","98986","51172","47814"
"36","New York","1941151","974775","966376","231056","133457","97599","508223","283316","224907","896102","430675","465427","305770","127327","178443","2875580","1432316","1443264","2582494","1264282","1318212","1267773","558688","709085","2498772","1226428","1272344","2189035","1060819","1128216","991369","448665","542704","5304674","2562161","2742513","4608622","2202875","2405747","1720202","798728","921474","2962447","1261783","1700664","2345455","1020560","1324895","799119","405713","393406"
"37","North Carolina","992108","522805","469303","141265","82452","58813","305851","181300","124551","451025","220657","230368","93967","38396","55571","1298130","635979","662151","1143191","545210","597981","416402","173777","242625","1312886","641272","671614","1149848","545542","604306","435224","188626","246598","2636083","1265490","1370593","2330457","1091008","1239449","770394","353002","417392","1515545","658879","856666","1229729","537078","692651","369037","194243","174794"
"38","North Dakota","93597","49443","44154","9624","5855","3769","24590","14720","9870","47163","23458","23705","12220","5410","6810","114100","63292","50808","108196","59061","49135","40646","18155","22491","86540","46615","39925","83699","44829","38870","27905","12754","15151","184020","93516","90504","173824","87294","86530","53559","25106","28453","107357","48192","59165","89330","39607","49723","21293","10768","10525"
"39","Ohio","1087145","551057","536088","149417","83752","65665","355266","200145","155121","476502","222728","253774","105960","44432","61528","1486363","743574","742789","1367228","677809","689419","476381","214757","261624","1400811","695494","705317","1281114","625890","655224","446560","199595","246965","3169742","1549113","1620629","2891451","1405400","1486051","820319","396705","423614","1839554","798960","1040594","1543403","673716","869687","371856","198699","173157"
"40","Oklahoma","392378","203924","188454","66254","37332","28922","127197","72567","54630","169139","81984","87155","29788","12041","17747","535955","271258","264697","476266","237880","238386","135896","60483","75413","479383","241435","237948","420832","209179","211653","127632","56983","70649","966494","472884","493610","849664","409490","440174","236307","111407","124900","576031","255984","320047","486443","219472","266971","130169","71290","58879"
"41","Oregon","363364","183929","179435","55106","34263","20843","109704","59524","50180","163286","75175","88111","35268","14967","20301","553310","279512","273798","503719","251338","252381","189883","85396","104487","527375","266796","260579","468474","234173","234301","194256","89612","104644","1063998","520757","543241","959198","466676","492522","324700","157809","166891","659778","301459","358319","593485","273261","320224","192828","103430","89398"
"42","Pennsylvania","1214756","618005","596751","150500","87002","63498","398081","220722","177359","523401","251830","271571","142774","58451","84323","1648641","830794","817847","1518212","755930","762282","623873","279167","344706","1501855","746937","754918","1375299","674943","700356","535516","240628","294888","3564038","1746097","1817941","3254457","1579119","1675338","1009039","483912","525127","2181193","942140","1239053","1830609","795689","1034920","472595","258056","214539"
"44","Rhode Island","114340","56648","57692","11114","7439","3675","32621","17240","15381","55722","26086","29636","14883","5883","9000","143020","71743","71277","130237","64504","65733","51879","24142","27737","123682","61186","62496","111451","53963","57488","43347","18392","24955","292849","140937","151912","261474","124349","137125","98950","46604","52346","170532","72890","97642","136877","59759","77118","44642","24354","20288"
"45","South Carolina","487006","250386","236620","62383","34945","27438","164465","95608","68857","218004","103398","114606","42154","16435","25719","631579","314957","316622","561787","273099","288688","184488","79727","104761","600449","291376","309073","528275","248532","279743","170940","72307","98633","1293850","614439","679411","1135652","526642","609010","342966","160857","182109","793954","352949","441005","640263","289436","350827","191847","108962","82885"
"46","South Dakota","85681","44388","41293","12173","6974","5199","25843","14397","11446","39371","20098","19273","8294","2919","5375","111923","57233","54690","102933","52245","50688","35034","15951","19083","98348","50998","47350","90667","46310","44357","31126","13723","17403","218324","109321","109003","204279","100627","103652","57585","25798","31787","134513","61290","73223","115187","52324","62863","31140","17159","13981"
"47","Tennessee","633012","320102","312910","66248","39104","27144","230156","126325","103831","278756","131925","146831","57852","22748","35104","865801","426347","439454","777408","376913","400495","264324","115610","148714","841160","416003","425157","744572","359885","384687","248145","110307","137838","1750746","844199","906547","1530805","722892","807913","430377","199022","231355","1015780","448323","567457","796897","352279","444618","208234","115302","92932"
"48","Texas","2787469","1434799","1352670","445677","257721","187956","896395","498979","397416","1224498","587296","637202","220899","90803","130096","3977864","2019364","1958500","3447694","1716343","1731351","1170897","521988","648909","3725435","1857740","1867695","3071942","1503640","1568302","1143876","523926","619950","6548055","3210846","3337209","5381499","2606510","2774989","1835358","907150","928208","3221507","1428111","1793396","2500584","1131415","1369169","805243","447978","357265"
"49","Utah","341637","172958","168679","43390","25436","17954","105883","60594","45289","169008","79592","89416","23356","7336","16020","440506","223444","217062","406490","203398","203092","138030","67945","70085","402256","205010","197246","367206","187238","179968","134743","72335","62408","591345","293456","297889","540441","266523","273918","189976","102644","87332","307842","142599","165243","280046","130704","149342","91963","54317","37646"
"50","Vermont","67228","34843","32385","5619","3358","2261","17715","9464","8251","34136","17429","16707","9758","4592","5166","70733","35754","34979","64762","32011","32751","27518","11847","15671","69851","34350","35501","65940","31537","34403","26884","11814","15070","187986","91569","96417","175554","83859","91695","67437","29383","38054","110084","50292","59792","95929","43169","52760","40233","19804","20429"
"51","Virginia","827861","426987","400874","84270","49034","35236","252719","144733","107986","392124","194283","197841","98748","38937","59811","1172805","591551","581254","1082827","539613","543214","464470","208555","255915","1095902","546013","549889","998933","489396","509537","464488","216224","248264","2229167","1080825","1148342","2004880","954245","1050635","823350","400114","423236","1187444","524430","663014","968917","431640","537277","349736","190781","158955"
"53","Washington","669067","348769","320298","92652","52829","39823","209996","119047","90949","296796","145617","151179","69623","31276","38347","1050364","540210","510154","958369","487296","471073","373612","174881","198731","926769","469609","457160","837347","419551","417796","345156","163506","181650","1875555","929159","946396","1715294","841631","873663","621964","306991","314973","1036626","473605","563021","930073","431602","498471","330161","183949","146212"
"54","West Virginia","164334","85937","78397","18997","10875","8122","61194","37448","23746","71040","32979","38061","13103","4635","8468","217874","108557","109317","197532","98412","99120","57056","25453","31603","230444","116250","114194","210834","104454","106380","49498","20634","28864","515668","254978","260690","450405","217569","232836","95396","44559","50837","336361","151128","185233","259461","114701","144760","52464","28705","23759"
"55","Wisconsin","560301","283999","276302","62206","35345","26861","176145","100221","75924","259581","122933","136648","62369","25500","36869","725456","369768","355688","676867","340228","336639","243575","107067","136508","696695","353127","343568","639343","320115","319228","233562","103935","129627","1596083","794622","801461","1480795","729011","751784","436597","205463","231134","900763","403895","496868","786448","352937","433511","198724","105135","93589"
"56","Wyoming","57860","30355","27505","8953","5052","3901","19757","12019","7738","26466","12258","14208","2684","1026","1658","82440","41573","40867","75566","38277","37289","21981","10761","11220","72140","37595","34545","68283","35248","33035","20335","9187","11148","151620","75517","76103","139587","69649","69938","36852","17660","19192","82547","39255","43292","74886","35602","39284","22866","12940","9926"
"72","Puerto Rico","354263","178653","175610","34163","20386","13777","100920","54569","46351","193763","92867","100896","25417","10831","14586","421169","205434","215735","375066","177034","198032","123437","45574","77863","448443","214310","234133","384256","175070","209186","140949","50107","90842","885949","407922","478027","692973","299736","393237","234300","87001","147299","626965","271332","355633","328453","141984","186469","91542","39457","52085"
